City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Reguengos de Monsaraz,38.4253,-7.5349,48.99,100,20,2.3,PT,1620365930
Narsaq,60.9167,-46.05,35.6,75,75,3.44,GL,1620365930
Bredasdorp,-34.5322,20.0403,59.0,94,91,11.5,ZA,1620365931
São João da Barra,-21.6403,-41.0511,72.03,78,0,6.82,BR,1620365931
Guerrero Negro,27.9769,-114.0611,60.89,90,1,12.28,MX,1620365675
Sann,26.0418,68.1378,95.0,38,40,6.91,PK,1620365931
Baykit,61.67,96.37,46.98,56,87,13.82,RU,1620365932
Pedersore,63.65,22.6833,36.0,80,75,10.36,FI,1620365932
Puerto Escondido,15.85,-97.0667,80.33,82,100,3.38,MX,1620365933
Kapaa,22.0752,-159.319,75.2,83,40,9.22,US,1620365933
Qaanaaq,77.484,-69.3632,20.12,79,58,5.53,GL,1620365933
Constitución,-35.3333,-72.4167,55.89,72,94,7.27,CL,1620365933
Terrace,54.5163,-128.6035,44.6,76,90,19.57,CA,1620365934
New Norfolk,-42.7826,147.0587,69.01,71,98,1.01,AU,1620365934
Te Anau,-45.4167,167.7167,50.16,82,80,0.51,NZ,1620365934
Clyde River,70.4692,-68.5914,21.2,93,90,3.44,CA,1620365935
Tasiilaq,65.6145,-37.6368,28.4,86,90,1.14,GL,1620365935
Sitka,57.0531,-135.33,48.2,81,90,5.75,US,1620365935
Alzamay,55.5562,98.6644,47.3,63,100,12.03,RU,1620365936
Benjamin Constant,-4.3831,-70.0311,73.4,100,0,2.3,BR,1620365936
Mehamn,71.0357,27.8492,33.8,80,75,14.97,NO,1620365936
Qaqortoq,60.7167,-46.0333,35.6,75,75,3.44,GL,1620365937
Talaya,61.3833,152.75,32.25,80,100,5.46,RU,1620365937
Sémbé,1.6481,14.5806,70.72,99,99,1.66,CG,1620365938
Port Hedland,-20.3167,118.5667,91.4,55,33,12.66,AU,1620365939
Pevek,69.7008,170.3133,29.59,83,7,2.68,RU,1620365939
Kalmunai,7.4167,81.8167,85.71,66,94,4.54,LK,1620365939
Hithadhoo,-0.6,73.0833,84.25,72,47,5.06,MV,1620365940
Qinzhou,21.95,108.6167,87.67,58,100,14.58,CN,1620365940
Goya,-29.14,-59.2626,44.13,83,0,3.0,AR,1620365940
Avarua,-21.2078,-159.775,73.4,73,75,17.27,CK,1620365941
Muthill,56.3318,-3.8335,39.0,89,76,2.86,GB,1620365941
Allonnes,47.9674,0.1581,37.4,100,90,2.77,FR,1620365941
Turochak,52.2576,87.1224,68.99,54,100,7.85,RU,1620365942
Timmins,48.4669,-81.3331,33.8,100,75,3.44,CA,1620365942
Chui,-33.6971,-53.4616,53.6,77,94,6.62,UY,1620365942
Bālurghāt,25.2167,88.7667,93.15,40,3,4.61,IN,1620365943
Cabo San Lucas,22.8909,-109.9124,73.0,49,0,1.99,MX,1620365943
Fukuechō,32.6881,128.8419,66.2,82,75,12.66,JP,1620365943
Nantucket,41.2835,-70.0995,46.99,87,1,4.61,US,1620365944
Viedma,-40.8135,-62.9967,46.98,62,5,7.16,AR,1620365944
Umluj,25.0213,37.2685,97.2,20,0,17.6,SA,1620365944
Yelovo,57.0538,54.9207,63.16,54,53,13.09,RU,1620365945
Sylva,58.0348,56.7635,64.4,39,0,17.9,RU,1620365945
Tadine,-21.55,167.8833,77.11,84,100,10.76,NC,1620365945
Flinders,-34.5833,150.8552,69.01,84,90,1.99,AU,1620365945
Riberalta,-10.9833,-66.1,64.17,80,100,6.73,BO,1620365946
Champerico,14.3,-91.9167,66.0,97,100,9.6,GT,1620365946
Zhuanghe,39.7008,122.9911,66.7,35,5,22.59,CN,1620365947
Port Elizabeth,-33.918,25.5701,55.4,100,0,3.44,ZA,1620365947
Bathsheba,13.2167,-59.5167,78.8,65,75,13.8,BB,1620365947
Barrow,71.2906,-156.7887,15.8,86,90,6.91,US,1620365948
Jurm,36.8648,70.8342,67.14,53,43,4.79,AF,1620365948
Zhangaözen,43.3,52.8,59.58,46,0,12.08,KZ,1620365949
Macouria,4.9167,-52.3667,75.99,100,0,3.44,GF,1620365949
Caçapava do Sul,-30.5122,-53.4914,39.36,86,0,4.61,BR,1620365949
Kavieng,-2.5744,150.7967,84.31,74,38,6.69,PG,1620365949
Bowen,-20.0167,148.2333,82.4,24,1,3.44,AU,1620365950
Bhadrāchalam,17.6667,80.8833,98.51,36,36,6.06,IN,1620365950
Ballina,-28.8667,153.5667,77.0,64,75,11.5,AU,1620365950
Saint-Philippe,-21.3585,55.7679,79.0,65,0,4.61,RE,1620365951
Wewak,-3.5534,143.6268,85.55,71,30,9.35,PG,1620365951
Yar-Sale,66.8333,70.8333,32.31,98,100,18.68,RU,1620365951
Tobol,52.6844,62.5794,58.96,31,15,6.2,KZ,1620365952
Pennāgaram,12.1333,77.9,91.4,46,40,4.61,IN,1620365952
Yangambi,0.8102,24.4336,70.41,97,100,1.45,CD,1620365952
Port-Gentil,-0.7193,8.7815,75.2,100,20,2.3,GA,1620365952
Midland,31.9974,-102.0779,69.8,43,1,6.91,US,1620365689
Fort Nelson,58.8053,-122.7002,60.8,31,90,10.36,CA,1620365953
Pisco,-13.7,-76.2167,66.2,88,90,2.3,PE,1620365954
Tautira,-17.7333,-149.15,80.6,74,20,2.3,PF,1620365954
Tiarei,-17.5333,-149.3333,80.6,74,20,2.3,PF,1620365800
Praia,14.9215,-23.5087,69.8,78,20,11.5,CV,1620365910
Bokoro,12.3807,17.0568,85.1,52,94,17.36,TD,1620365956
Hobart,-42.8794,147.3294,69.01,56,75,16.11,AU,1620365781
Mlyniv,50.509,25.6168,48.99,61,40,11.18,UA,1620365958
Padre Bernardo,-15.35,-48.5,66.69,66,26,2.62,BR,1620365958
Cayenne,4.9333,-52.3333,75.99,100,0,3.44,GF,1620365960
Kaitangata,-46.2817,169.8464,48.63,84,53,1.01,NZ,1620365961
Khatanga,71.9667,102.5,36.72,84,100,18.7,RU,1620365961
Coahuayana Viejo,18.7333,-103.6833,72.82,79,22,1.45,MX,1620365961
Joshīmath,30.5667,79.5667,67.73,62,100,6.46,IN,1620365962
Huarmey,-10.0681,-78.1522,66.63,85,96,8.03,PE,1620365962
Atuona,-9.8,-139.0333,80.94,67,44,22.01,PF,1620365964
Klaksvík,62.2266,-6.589,37.4,81,75,5.75,FO,1620365964
Norman Wells,65.282,-126.8329,48.2,49,75,2.3,CA,1620365966
Mount Gambier,-37.8333,140.7667,69.8,60,99,12.66,AU,1620365966
Spirit River,55.7833,-118.8361,59.0,33,100,19.57,CA,1620365967
Berezovyy,51.6667,135.7,41.4,62,99,4.97,RU,1620365967
Malibu,34.005,-118.8101,57.99,88,45,4.97,US,1620365968
Marawi,7.9986,124.2928,93.0,65,100,7.85,PH,1620365968
Arauca,7.0847,-70.7591,75.2,100,84,1.14,CO,1620365968
Manuk Mangkaw,4.8,119.85,81.88,76,99,6.76,PH,1620365970
Upernavik,72.7868,-56.1549,22.26,95,68,7.94,GL,1620365970
Kaili,-3.4626,120.2147,71.02,97,99,3.53,ID,1620365971
Lamaní,14.2,-87.6167,71.6,68,40,4.61,HN,1620365971
Havre-St-Pierre,50.2334,-63.5986,35.6,100,90,5.75,CA,1620365972
Taoudenni,22.6783,-3.9836,81.43,22,1,6.98,ML,1620365972
Eyl,7.9803,49.8164,86.61,61,99,4.63,SO,1620365973
Caravelas,-17.7125,-39.2481,73.17,89,86,6.46,BR,1620365973
Kiryat Gat,31.61,34.7642,75.0,37,25,4.0,IL,1620365975
Kloulklubed,7.0419,134.2556,77.0,94,90,4.61,PW,1620365975
Praia,14.9215,-23.5087,69.8,78,20,11.5,CV,1620365910
Sorgun,39.8101,35.186,57.22,59,1,2.51,TR,1620365976
Mount Isa,-20.7333,139.5,84.2,15,24,8.05,AU,1620365976
Ormara,25.2088,64.6357,85.35,73,28,13.96,PK,1620365978
Lompoc,34.6391,-120.4579,51.8,87,24,11.5,US,1620365978
Ribeira Grande,38.5167,-28.7,63.41,90,58,23.91,PT,1620365980
Yulara,-25.2406,130.9889,84.2,18,100,11.5,AU,1620365980
Dikson,73.5069,80.5464,28.11,87,88,20.02,RU,1620365981
São Félix do Xingu,-6.6447,-51.995,70.2,97,25,1.88,BR,1620365694
Poum,-20.2333,164.0167,78.87,75,96,10.85,NC,1620365981
Fare,-16.7,-151.0167,82.4,70,7,14.27,PF,1620365982
Avera,33.194,-82.5271,55.4,82,1,4.61,US,1620365982
Hamilton,39.1834,-84.5333,48.99,93,40,6.91,US,1620365979
Kirakira,-10.4544,161.9205,83.68,78,100,11.05,SB,1620365984
Lavrentiya,65.5833,-171.0,27.23,89,17,5.19,RU,1620365986
Chirongui,-12.9319,45.1483,82.4,65,0,20.71,YT,1620365986
Millet,53.1001,-113.4687,57.2,33,100,17.27,CA,1620365987
Cockburn Town,21.4612,-71.1419,78.94,72,6,19.66,TC,1620365987
Christchurch,-43.5333,172.6333,57.0,88,75,16.11,NZ,1620365988
Tilichiki,60.4667,166.1,30.56,98,86,3.4,RU,1620365988
Souillac,-20.5167,57.5167,78.8,83,20,8.05,MU,1620365988
Wagar,16.1525,36.2032,93.2,31,49,15.05,SD,1620365988
Chernyshevskiy,63.0128,112.4714,42.78,73,95,3.94,RU,1620365989
George Town,5.4112,100.3354,87.8,70,20,4.61,MY,1620365989
Ucluelet,48.9329,-125.5528,45.0,85,74,8.32,CA,1620365989
Kutum,14.2,24.6667,79.16,44,8,4.32,SD,1620365990
Ouégoa,-20.35,164.4333,78.57,76,94,9.86,NC,1620365990
Suicheng,33.8963,117.9331,74.88,28,100,8.66,CN,1620365990
Bonavista,48.6499,-53.1147,36.0,100,97,2.3,CA,1620365991
Lubango,-14.9172,13.4925,58.48,89,21,3.6,AO,1620365991
Kyaikkami,16.08,97.5675,89.35,56,100,5.28,MM,1620365991
Plouzané,48.3833,-4.6167,41.0,86,0,5.53,FR,1620365983
Leh,34.1667,77.5833,49.78,44,100,4.09,IN,1620365992
East London,-33.0153,27.9116,66.2,68,0,10.36,ZA,1620365992
Port Moresby,-9.4431,147.1797,89.6,62,40,17.27,PG,1620365992
Chittarkonda,18.1167,82.0833,95.56,35,9,3.6,IN,1620365993
Murdochville,48.9583,-65.5006,32.0,100,100,2.3,CA,1620365994
Port Blair,11.6667,92.75,80.6,83,40,8.05,IN,1620365716
Aklavik,68.2191,-135.0107,33.8,64,100,11.5,CA,1620365994
Majene,-3.5403,118.9707,81.01,81,93,2.13,ID,1620365994
Kholtoson,50.2981,103.3097,62.01,28,96,7.72,RU,1620365995
Kanigoro,-8.13,112.219,82.96,74,97,7.47,ID,1620365995
Muros,42.7762,-9.0603,57.99,89,90,7.36,ES,1620365996
Buraidah,26.326,43.975,84.2,24,0,14.97,SA,1620365996
Msowero,-6.5333,37.2,69.8,94,75,5.68,TZ,1620365996
Bandarbeyla,9.4942,50.8122,86.27,61,97,3.98,SO,1620365997
Belmonte,-15.8631,-38.8828,73.4,94,0,4.61,BR,1620365997
Ayotzintepec,17.6667,-96.1333,71.92,95,73,3.42,MX,1620365997
Grindavik,63.8424,-22.4338,30.2,80,0,8.05,IS,1620365998
Kaeo,-35.1,173.7833,64.0,83,100,7.0,NZ,1620365998
Pimenteiras,-6.2453,-41.4192,73.67,78,95,1.12,BR,1620365998
Saint-Joseph,-21.3667,55.6167,79.0,65,0,4.61,RE,1620365999
Ust'-Ilimsk,58.0006,102.6619,47.39,57,82,7.67,RU,1620365999
Muncar,-8.4333,114.3333,85.35,60,98,8.21,ID,1620365999
Ruwi,23.5996,58.5507,87.8,74,20,2.3,OM,1620366000
Zhangjiakou,40.81,114.8794,70.65,13,3,19.62,CN,1620366000
Esmeraldas,-19.7625,-44.3139,62.6,82,0,1.14,BR,1620366000
Brae,60.3964,-1.353,42.8,81,40,9.22,GB,1620366001
Kinkala,-4.3614,14.7644,73.4,94,40,4.61,CG,1620366001
Mola di Bari,41.0609,17.0873,64.99,57,86,1.01,IT,1620366001
Zhigansk,66.7697,123.3711,37.87,66,96,10.22,RU,1620366004
Verkhnevilyuysk,63.4453,120.3167,44.82,65,100,7.27,RU,1620366004
Nanortalik,60.1432,-45.2371,35.51,77,97,3.09,GL,1620366005
Pemba,-12.974,40.5178,68.0,83,75,12.66,MZ,1620366005
Dustlik,40.5247,68.0358,79.68,37,67,3.65,UZ,1620366006
Jiangkou,25.4872,119.1986,80.6,65,100,13.42,CN,1620366006
Nabire,-3.3667,135.4833,86.2,67,38,4.65,ID,1620366006
Kavaratti,10.5669,72.642,85.53,67,100,4.56,IN,1620366007
Paamiut,61.994,-49.6678,34.88,79,89,2.39,GL,1620366007
Balarāmpur,23.1167,86.2167,87.8,66,75,4.61,IN,1620366007
Al Bardīyah,31.7561,25.0865,72.43,58,91,11.61,LY,1620366008
Tigzirt,36.8886,4.1198,60.8,83,5,5.08,DZ,1620366008
Faya,18.3851,42.4509,73.4,23,0,4.25,SA,1620366008
Iqaluit,63.7506,-68.5145,30.2,93,90,5.75,CA,1620366010
Saskylakh,71.9167,114.0833,24.98,89,84,4.88,RU,1620366010
The Valley,18.217,-63.0578,78.8,69,40,10.36,AI,1620366011
Sādāt,25.6833,83.2833,89.6,51,20,11.5,IN,1620366011
Walvis Bay,-22.9575,14.5053,57.99,87,0,4.61,NA,1620366011
Deer Lake,49.1667,-57.4316,37.4,100,90,11.5,CA,1620366012
Half Moon Bay,37.4636,-122.4286,55.4,93,90,8.05,US,1620365748
Meulaboh,4.1363,96.1285,85.87,67,58,5.17,ID,1620366012
Tazovsky,67.4667,78.7,32.94,92,100,8.32,RU,1620366013
Pirāwa,24.1551,76.0273,99.37,18,5,6.87,IN,1620366013
Pontal do Paraná,-25.6533,-48.5128,51.01,99,100,5.19,BR,1620366013
Winton,37.3894,-120.6133,66.2,52,90,10.36,US,1620366014
Tezu,27.9167,96.1667,88.9,45,59,3.74,IN,1620366014
Lādnūn,27.65,74.3833,95.65,21,9,3.47,IN,1620366007
Lerwick,60.1545,-1.1494,42.8,81,40,9.22,GB,1620366014
Mana,5.6592,-53.7767,76.35,91,100,5.68,GF,1620366015
Balkhash,46.844,74.9804,73.4,43,0,6.71,KZ,1620366015
Flers,48.7372,-0.5747,37.4,100,0,9.22,FR,1620366015
Crotone,39.0851,17.1178,63.0,43,100,2.57,IT,1620365900
Nieuw Amsterdam,5.8833,-55.0833,78.01,93,97,1.01,SR,1620366016
Manavālakurichi,8.1333,77.3,89.6,66,20,5.75,IN,1620366016
Mar del Plata,-38.0023,-57.5575,53.01,87,0,3.44,AR,1620365755
Harrisburg,40.2737,-76.8844,53.6,58,1,8.05,US,1620366017
Baijiantan,45.6333,85.1833,93.11,16,36,21.85,CN,1620366017
Dunedin,-45.8742,170.5036,54.0,84,77,3.0,NZ,1620366017
Keti Bandar,24.1447,67.4497,88.59,60,3,15.01,PK,1620366018
Finnsnes,69.2296,17.9811,30.2,59,20,2.3,NO,1620366018
Darhan,49.4867,105.9228,53.06,42,88,15.52,MN,1620366018
Araouane,18.9048,-3.5265,83.46,14,8,11.21,ML,1620366019
Yangi Marg`ilon,40.4272,71.7189,73.4,53,40,4.68,UZ,1620366019
Zhezkazgan,47.8043,67.7144,70.16,25,67,5.3,KZ,1620366019
Mitú,1.1983,-70.1733,71.51,99,100,1.83,CO,1620365901
Mahébourg,-20.4081,57.7,78.8,83,20,8.05,MU,1620366020
Laiyang,36.9758,120.7136,70.74,24,0,20.65,CN,1620366020
Bosaso,11.2842,49.1816,87.8,66,0,18.41,SO,1620366020
Yinchuan,38.4681,106.2731,72.03,9,90,5.32,CN,1620366021
Yamoussoukro,6.8206,-5.2767,71.6,100,0,2.86,CI,1620366021
Luohe,33.5717,114.0353,78.31,15,100,7.07,CN,1620366022
Fichē,9.8,38.7333,57.4,69,85,3.89,ET,1620365941
Rawson,-43.3002,-65.1023,51.21,72,40,11.14,AR,1620365972
Bonthe,7.5264,-12.505,79.34,85,97,4.27,SL,1620366022
Rocha,-34.4833,-54.3333,54.39,83,100,7.02,UY,1620366022
Sisimiut,66.9395,-53.6735,29.84,85,8,6.31,GL,1620366023
Nuevitas,21.5453,-77.2644,75.2,88,1,4.61,CU,1620366023
Soure,-0.7167,-48.5233,76.75,84,91,1.21,BR,1620366023
Hay River,60.8156,-115.7999,50.0,37,57,6.91,CA,1620366024
Banda Aceh,5.5577,95.3222,85.42,70,76,4.14,ID,1620366024
Ahipara,-35.1667,173.1667,62.78,74,100,12.48,NZ,1620366024
Saint George,37.1041,-113.5841,78.01,15,1,5.75,US,1620366025
Meadow Lake,34.8014,-106.5436,69.8,30,40,14.97,US,1620366025
Price,39.5994,-110.8107,57.2,21,1,10.36,US,1620366025
Skała,50.2305,19.8536,51.01,87,75,1.14,PL,1620366026
Lehigh Acres,26.6254,-81.6248,78.01,88,20,3.44,US,1620366026
Turaif,31.6725,38.6637,71.6,35,40,6.91,SA,1620366026
Lucea,18.451,-78.1736,78.8,78,20,4.61,JM,1620366026
Ulladulla,-35.35,150.4667,66.2,100,95,9.22,AU,1620366027
Kennoway,56.2108,-3.0492,39.0,79,47,3.0,GB,1620366027
Petukhovo,55.0692,67.9019,58.24,29,0,10.63,RU,1620366027
Udachny,66.4167,112.4,38.21,61,82,4.68,RU,1620366028
Khanpur,28.6453,70.6567,97.36,19,0,7.78,PK,1620366028
Coburg,50.2667,10.9667,42.01,92,100,1.99,DE,1620366028
Talnakh,69.4865,88.3972,34.84,100,100,4.68,RU,1620366029
Broome,42.2506,-75.833,37.99,100,65,1.5,US,1620366029
Raja,8.4596,25.678,75.76,75,98,8.32,SS,1620366030
Lyubokhna,53.5033,34.3885,46.4,66,0,8.95,RU,1620366030
Thompson,55.7435,-97.8558,26.6,80,1,3.44,CA,1620366030
Hong Kong,22.2855,114.1577,84.2,61,20,10.36,HK,1620365955
Illapel,-31.6308,-71.1653,61.99,59,100,1.97,CL,1620366018
Beloha,-25.1667,45.05,70.57,58,55,9.51,MG,1620366031
Pangai,-19.8,-174.35,77.0,88,75,18.41,TO,1620366031
Mercedes,-34.6515,-59.4307,46.0,81,0,1.66,AR,1620366031
Belmira,6.6051,-75.6662,57.2,100,75,1.52,CO,1620366032
Ciudad de Armería,18.9333,-103.9667,72.93,78,19,2.35,MX,1620366032
Chapada dos Guimarães,-15.4606,-55.7497,57.2,94,90,10.36,BR,1620366033
Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.4,87,75,8.95,RU,1620366033
Finschhafen,-6.6024,147.8681,84.25,71,81,8.95,PG,1620366034
Pimenta Bueno,-11.6725,-61.1936,65.21,80,10,7.34,BR,1620365927
Vestmanna,62.1564,-7.1664,37.4,81,75,5.75,FO,1620366034
Kovdor,67.5662,30.4758,26.26,89,100,16.26,RU,1620366035
Fairbanks,64.8378,-147.7164,53.6,43,75,14.97,US,1620366035
Bermejo,-32.8833,-68.8,46.4,81,0,2.91,AR,1620366035
Voh,-20.9667,164.7,78.66,77,89,3.44,NC,1620366036
Beringovskiy,63.05,179.3167,28.8,82,78,6.11,RU,1620366036
Vestmannaeyjar,63.4427,-20.2734,36.7,72,45,6.6,IS,1620365998
Abhā,18.2164,42.5053,73.4,23,0,6.26,SA,1620366036
Yatou,37.15,122.3833,64.15,39,0,22.46,CN,1620366037
St. George's,12.0564,-61.7485,77.13,82,58,14.29,GD,1620366037
Trairi,-3.2778,-39.2689,74.23,89,64,3.0,BR,1620365827
Severo-Kuril'sk,50.6789,156.125,39.33,87,94,7.74,RU,1620366038
Anadyr,64.75,177.4833,24.8,80,0,6.71,RU,1620366038
Boden,65.8252,21.6886,32.0,80,0,8.05,SE,1620366039
Kismayo,-0.3582,42.5454,82.6,76,95,13.13,SO,1620366039
Nome,64.5011,-165.4064,46.4,53,1,11.5,US,1620366039
Opuwo,-18.0607,13.84,68.0,69,73,1.86,NA,1620366040
Siverek,37.755,39.3167,66.2,59,0,6.91,TR,1620366040
Airai,-8.9266,125.4092,66.79,85,97,2.1,TL,1620366040
Ginda,30.6945,78.4932,72.61,39,100,4.29,IN,1620366041
Kruisfontein,-34.0033,24.7314,57.99,95,2,1.01,ZA,1620366041
Vila,42.0304,-8.1588,53.01,89,17,2.62,PT,1620366041
Sladkovo,55.5284,70.3385,56.05,30,0,15.21,RU,1620366042
Turan,16.0678,108.2208,91.4,55,20,8.05,VN,1620366042
Tiksi,71.6872,128.8694,30.24,86,100,13.31,RU,1620366042
Alpharetta,34.0754,-84.2941,57.99,77,27,8.84,US,1620365951
Pangnirtung,66.1451,-65.7125,25.03,80,43,7.31,CA,1620366044
Sioux Lookout,50.1001,-91.917,35.6,75,75,8.05,CA,1620366044
Vao,-22.6667,167.4833,76.26,81,82,12.97,NC,1620366044
Lagoa,39.05,-27.9833,62.78,88,47,27.6,PT,1620366045
Pochutla,15.7432,-96.4661,79.0,81,99,1.99,MX,1620366045
Hasaki,35.7333,140.8333,66.2,82,75,3.44,JP,1620366045
Portland,45.5234,-122.6762,51.01,77,29,3.22,US,1620365666
Mayo,38.8876,-76.5119,50.0,99,91,6.24,US,1620366046
Cobija,-11.0267,-68.7692,64.4,79,100,6.71,BO,1620366046
Bisira,8.5196,-81.7115,58.87,93,96,3.56,PA,1620366047
Chokurdakh,70.6333,147.9167,27.25,89,57,4.59,RU,1620366047
Nueva Helvecia,-34.3,-57.2333,46.0,77,1,4.25,UY,1620366047
Smithers,54.7804,-127.1743,44.6,87,90,4.61,CA,1620366048
Lebu,-37.6167,-73.65,52.16,85,43,8.75,CL,1620366048
Coquimbo,-29.9533,-71.3436,59.0,88,90,3.44,CL,1620366048
Sept-Îles,50.2001,-66.3821,33.01,100,90,2.3,CA,1620365951
Sinnamary,5.3833,-52.95,76.64,89,100,6.55,GF,1620366049
Codrington,-38.2667,141.9667,66.96,59,100,5.68,AU,1620366049
Pinega,64.7001,43.3936,42.8,89,100,7.52,RU,1620366049
Dali,25.7,100.1833,65.26,61,91,9.46,CN,1620366050
Olafsvik,64.8945,-23.7142,34.02,65,42,12.46,IS,1620366050
Yumen,40.2833,97.2,82.04,3,36,17.34,CN,1620366050
Sliema,35.9125,14.5019,62.6,72,0,4.61,MT,1620366051
Seoul,37.5683,126.9778,62.6,51,49,14.97,KR,1620365923
Omsukchan,62.5333,155.8,28.94,91,100,5.95,RU,1620366051
Korem,12.5058,39.5228,60.69,60,82,4.81,ET,1620366052
Makakilo City,21.3469,-158.0858,77.0,78,1,9.22,US,1620366052
Yangjiang,21.85,111.9667,89.01,58,92,8.14,CN,1620366052
Drayton Valley,53.2168,-114.9854,52.23,44,100,19.04,CA,1620366053
Asheville,35.6009,-82.554,48.99,72,54,3.67,US,1620365820
Ngunguru,-35.6167,174.5,64.0,83,100,7.0,NZ,1620366054
Manitouwadge,49.1215,-85.8403,33.8,93,100,1.14,CA,1620366054
Kahului,20.8947,-156.47,73.4,73,40,5.75,US,1620366055
Misratah,32.3754,15.0925,66.97,80,78,9.62,LY,1620366055
Formosa do Rio Preto,-11.0483,-45.1931,68.63,86,97,1.99,BR,1620366055
Garhiyasin,27.9069,68.511,93.2,40,3,3.87,PK,1620366055
Biak,-0.9131,122.8766,81.36,78,88,3.51,ID,1620366056
Killybegs,54.6333,-8.45,41.27,66,17,2.86,IE,1620366056
Kang,-23.6752,22.7876,60.73,40,18,6.69,BW,1620366057
Mirny,62.5353,113.9611,44.55,68,96,5.86,RU,1620366057
Warrington,53.3925,-2.5802,39.99,93,41,1.01,GB,1620366057
Paita,-5.0892,-81.1144,69.82,76,62,10.87,PE,1620366058
